         5315333 function calls (5109638 primitive calls) in 8.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      167    0.000    0.000    0.000    0.000 mlir.py:1854(<genexpr>)
       42    0.000    0.000    0.001    0.000 lax.py:1907(unop)
       19    0.000    0.000    0.000    0.000 xla.py:194(_make_shaped_array_for_numpy_array)
        2    0.000    0.000    0.001    0.001 lax_numpy.py:2885(_split)
    61/29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1380(_recalculate)
       66    0.000    0.000    0.000    0.000 util.py:488(__call__)
      509    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       15    0.000    0.000    0.002    0.000 lax.py:3804(_broadcast_in_dim_abstract_eval)
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
       30    0.000    0.000    0.001    0.000 util.py:337(check_for_prngkeys)
      217    0.000    0.000    0.000    0.000 core.py:1771(<lambda>)
       42    0.000    0.000    0.001    0.000 compiler.py:678(_cache_read)
        6    0.000    0.000    0.000    0.000 numeric.py:2706(extend_all)
       27    0.000    0.000    0.002    0.000 std.py:457(print_status)
       18    0.000    0.000    0.001    0.000 xla.py:157(_canonicalize_python_scalar_dtype)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
       72    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
      283    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        2    0.000    0.000    0.000    0.000 typing.py:3137(__new__)
       34    0.000    0.000    0.000    0.000 enum.py:925(_check_for_existing_members_)
      309    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
      120    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
       22    0.000    0.000    0.001    0.000 __init__.py:2128(getLogger)
       42    0.000    0.000    0.000    0.000 sharding.py:202(_addressable_device_assignment)
      131    0.000    0.000    0.000    0.000 util.py:167(<genexpr>)
       30    0.000    0.000    0.000    0.000 std.py:106(release)
       22    0.000    0.000    0.001    0.000 core.py:1607(physical_element_aval)
       42    0.000    0.000    0.000    0.000 compiler.py:184(<lambda>)
      2/0    0.000    0.000    0.000          lax.py:3967(_concatenate_lower)
       53    0.000    0.000    0.000    0.000 _collections.py:28(parse)
       60    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        5    0.000    0.000    0.000    0.000 xla.py:189(_make_shaped_array_for_numpy_scalar)
       59    0.000    0.000    0.000    0.000 functools.py:499(lru_cache)
        1    0.000    0.000    0.001    0.001 mesh.py:1(<module>)
        1    0.000    0.000    0.009    0.009 subprocess.py:1(<module>)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2292(__init__)
      4/0    0.000    0.000    0.000          pjit.py:1738(call_impl_cache_miss)
      500    0.000    0.000    0.000    0.000 reductions.py:197(force)
      250    0.000    0.000    0.000    0.000 lax_numpy.py:10701(<genexpr>)
        5    0.000    0.000    0.000    0.000 getlimits.py:546(_init)
        1    0.000    0.000    0.006    0.006 types.py:1(<module>)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
        2    0.000    0.000    0.001    0.001 xla.py:1(<module>)
        1    0.000    0.000    0.055    0.055 _index_tricks_impl.py:1(<module>)
        2    0.000    0.000    0.104    0.052 stages.py:1(<module>)
       80    0.000    0.000    0.000    0.000 xla_client.py:580(register_custom_call_target)
        1    0.000    0.000    0.002    0.002 <frozen ntpath>:1(<module>)
        2    0.000    0.000    0.010    0.005 loops.py:1312(_create_jaxpr)
        2    0.000    0.000    0.001    0.000 lax.py:5408(_iota_lower)
     24/0    0.000    0.000    0.000          random.py:222(PRNGKey)
      117    0.000    0.000    0.000    0.000 partial_eval.py:1665(_dynamic_jaxpr_tracer_shaped_abstractify)
    46/42    0.000    0.000    0.001    0.000 pxla.py:1988(jaxpr_transfer_mem_kinds)
       67    0.000    0.000    0.001    0.000 __init__.py:104(<genexpr>)
    46/42    0.000    0.000    0.000    0.000 dispatch.py:210(jaxpr_has_prim_requiring_devices)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       42    0.000    0.000    0.000    0.000 pxla.py:1152(__init__)
      152    0.000    0.000    0.001    0.000 typing.py:1639(<genexpr>)
        3    0.000    0.000    0.000    0.000 _function_base_impl.py:5247(delete)
       10    0.000    0.000    0.002    0.000 _stablehlo_ops_gen.py:1377(convert)
        1    0.000    0.000    0.016    0.016 callback.py:1(<module>)
       43    0.000    0.000    0.010    0.000 pxla.py:1160(__call__)
       58    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1205(get_filename)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
      518    0.000    0.000    0.000    0.000 lax.py:2791(_convert_element_type_dtype_rule)
        1    0.000    0.000    0.017    0.017 _npyio_impl.py:1(<module>)
       42    0.000    0.000    0.000    0.000 pjit.py:1720(_get_jaxpr_as_fun)
       82    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
        1    0.000    0.000    0.000    0.000 conditionals.py:1(<module>)
       12    0.000    0.000    0.005    0.000 slicing.py:782(index_in_dim)
       67    0.000    0.000    0.001    0.000 __init__.py:300(<genexpr>)
       42    0.000    0.000    0.000    0.000 dispatch.py:294(jaxpr_replicas)
       26    0.000    0.000    0.004    0.000 source_info_util.py:166(is_user_filename)
       61    0.000    0.000    0.000    0.000 sharding_impls.py:373(num_devices)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
      107    0.000    0.000    0.000    0.000 pxla.py:2817(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:2755(MaskedArray)
       42    0.000    0.000    0.000    0.000 copy.py:232(_keep_alive)
       42    0.000    0.000    0.000    0.000 xla_bridge.py:1020(get_device_backend)
        1    0.000    0.000    0.005    0.005 source_info_util.py:1(<module>)
       40    0.000    0.000    0.000    0.000 sharding_impls.py:365(__eq__)
       46    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       43    0.000    0.000    0.000    0.000 dispatch.py:317(needs_check_special)
    75/72    0.000    0.000    0.000    0.000 config.py:286(_set)
       46    0.000    0.000    0.000    0.000 config.py:38(bool_env)
       69    0.000    0.000    0.000    0.000 {built-in method jaxlib.mlir._mlir_libs._mlir.ir.get_dynamic_size}
       33    0.000    0.000    0.000    0.000 lax.py:2011(naryop)
        1    0.000    0.000    0.008    0.008 contract.py:1(<module>)
       26    0.000    0.000    0.000    0.000 <frozen _collections_abc>:473(__new__)
       40    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
      224    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
      107    0.000    0.000    0.000    0.000 prng.py:95(__hash__)
       42    0.000    0.000    0.000    0.000 pxla.py:2626(<lambda>)
       10    0.000    0.000    0.001    0.000 sharding_impls.py:1566(check_replicated_trailing_dims)
       12    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      375    0.000    0.000    0.000    0.000 lax_numpy.py:11027(_is_slice_element_none_or_constant_or_symbolic)
        2    0.000    0.000    0.032    0.016 prng.py:825(rolled_loop_step)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       60    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
    57/31    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
       46    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
       20    0.000    0.000    0.000    0.000 lax.py:2845(_convert_elt_type_fwd_rule)
      237    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        7    0.000    0.000    0.002    0.000 sharding.py:47(common_devices_indices_map)
        2    0.000    0.000    0.000    0.000 array_methods.py:1062(_set_array_base_attributes)
       68    0.000    0.000    0.001    0.000 common.py:40(_abstractify)
       14    0.000    0.000    0.001    0.000 __init__.py:907(read_text)
        2    0.000    0.000    0.040    0.020 loops.py:122(scan)
       42    0.000    0.000    0.000    0.000 sharding_impls.py:871(is_fully_addressable)
        8    0.000    0.000    0.025    0.003 prng.py:813(apply_round)
      1/0    0.000    0.000    0.000          lax.py:4171(_reshape_lower)
        2    0.000    0.000    0.036    0.018 random.py:702(_normal)
        5    0.000    0.000    0.000    0.000 api_util.py:620(_np_scalar_abstractify)
        1    0.000    0.000    0.006    0.006 pretty_printer.py:1(<module>)
       57    0.000    0.000    0.031    0.001 __init__.py:287(compile)
       23    0.000    0.000    0.000    0.000 __init__.py:1477(__init__)
        1    0.000    0.000    0.000    0.000 primitives.py:1(<module>)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1376(_get_parent_path)
       48    0.000    0.000    0.001    0.000 fromnumeric.py:2611(all)
       65    0.000    0.000    0.000    0.000 tree_util.py:787(<genexpr>)
       84    0.000    0.000    0.000    0.000 pxla.py:2180(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      132    0.000    0.000    0.000    0.000 pjit.py:1409(__hash__)
       64    0.000    0.000    0.000    0.000 prng.py:174(shape)
       28    0.000    0.000    0.000    0.000 core.py:396(__init__)
       48    0.000    0.000    0.000    0.000 dispatch.py:304(_eqn_replicas)
       53    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
        1    0.000    0.000    0.007    0.007 setops.py:1(<module>)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      182    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       47    0.000    0.000    0.001    0.000 getlimits.py:490(__new__)
      194    0.000    0.000    0.000    0.000 array_methods.py:1065(maybe_setattr)
        2    0.000    0.000    0.031    0.016 random.py:376(uniform)
      169    0.000    0.000    0.000    0.000 dataclasses.py:591(_init_param)
        1    0.000    0.000    0.001    0.001 convolution.py:1(<module>)
        2    0.000    0.000    0.038    0.019 common.py:72(_initial_style_jaxpr_attrs)
      212    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.001    0.001 func.py:1(<module>)
       12    0.000    0.000    0.005    0.000 dispatch.py:95(xla_primitive_callable)
       14    0.000    0.000    0.001    0.000 api_util.py:628(_python_scalar_abstractify)
        1    0.000    0.000    0.009    0.009 compiler.py:1(<module>)
       44    0.000    0.000    0.000    0.000 typing.py:1131(_typevar_subst)
       50    0.000    0.000    0.000    0.000 prng.py:186(dtype)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       15    0.000    0.000    0.003    0.000 _itertools.py:4(unique_everseen)
       53    0.000    0.000    0.000    0.000 array.py:408(is_fully_addressable)
       84    0.000    0.000    0.000    0.000 _function_base_impl.py:346(iterable)
       29    0.000    0.000    0.000    0.000 inspect.py:2117(_signature_is_builtin)
        1    0.000    0.000    0.009    0.009 abstract_arrays.py:1(<module>)
       12    0.000    0.000    0.000    0.000 lax.py:4066(_compute_squeeze_shape)
        6    0.000    0.000    0.000    0.000 lax.py:3893(_concatenate_shape_rule)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        2    0.000    0.000    0.011    0.006 loops.py:1246(while_loop)
      389    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       42    0.000    0.000    0.000    0.000 cache_key.py:103(<lambda>)
        7    0.000    0.000    0.000    0.000 config.py:424(enum_state)
      315    0.000    0.000    0.000    0.000 _parser.py:165(__delitem__)
        6    0.000    0.000    0.001    0.000 _stablehlo_ops_gen.py:1313(concatenate)
        1    0.000    0.000    0.013    0.013 _type_check_impl.py:1(<module>)
       42    0.000    0.000    0.000    0.000 compiler.py:331(<lambda>)
      172    0.000    0.000    0.000    0.000 dataclasses.py:288(__init__)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        3    0.000    0.000    0.003    0.001 typing.py:1(<module>)
       27    0.000    0.000    0.001    0.000 std.py:451(fp_write)
      4/2    0.000    0.000    0.001    0.000 pjit.py:2359(dce_jaxpr_pjit_rule)
       27    0.000    0.000    0.000    0.000 std.py:153(__init__)
       44    0.000    0.000    0.000    0.000 {built-in method numpy.ascontiguousarray}
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ffi.py:1(<module>)
      127    0.000    0.000    0.000    0.000 util.py:184(<genexpr>)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
       54    0.000    0.000    0.000    0.000 {built-in method jaxlib.mlir._mlir_libs._mlir.ir.insert}
       66    0.000    0.000    0.000    0.000 util.py:381(fun_qual_name)
       50    0.000    0.000    0.000    0.000 prng.py:182(ndim)
       72    0.000    0.000    0.000    0.000 partial_eval.py:1521(_default_dce_rule)
        1    0.000    0.000    0.000    0.000 ann.py:1(<module>)
        1    0.000    0.000    0.001    0.001 std.py:952(__init__)
        4    0.000    0.000    0.001    0.000 lax_numpy.py:1801(ravel)
      452    0.000    0.000    0.000    0.000 enum.py:1203(__init__)
        2    0.000    0.000    0.000    0.000 fnmatch.py:48(filter)
        2    0.000    0.000    0.048    0.024 prng.py:833(_threefry2x32_lowering)
        2    0.000    0.000    0.008    0.004 sharding.py:1(<module>)
       12    0.000    0.000    0.000    0.000 lax.py:4063(_squeeze_shape_rule)
       30    0.000    0.000    0.000    0.000 inspect.py:3078(replace)
        1    0.000    0.000    0.001    0.001 array_methods.py:1091(_set_array_abstract_methods)
       33    0.000    0.000    0.001    0.000 typing.py:1574(copy_with)
        2    0.000    0.000    0.005    0.003 compilation_cache.py:1(<module>)
      480    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       17    0.000    0.000    0.000    0.000 profiler.py:302(annotate_function)
       24    0.000    0.000    0.000    0.000 _dtype.py:34(__str__)
       84    0.000    0.000    0.000    0.000 pxla.py:2497(<genexpr>)
        8    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      8/4    0.000    0.000    0.000    0.000 _stablehlo_ops_gen.py:3402(or_)
       17    0.000    0.000    0.004    0.000 dispatch.py:97(prim_fun)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        2    0.000    0.000    0.003    0.002 abc.py:1(<module>)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        2    0.000    0.000    0.008    0.004 lax.py:2520(_integer_pow_lowering)
        1    0.000    0.000    0.000    0.000 custom_partitioning.py:1(<module>)
        4    0.000    0.000    0.022    0.006 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 solves.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1179(_Unpickler)
       61    0.000    0.000    0.000    0.000 sharding_impls.py:377(device_set)
      108    0.000    0.000    0.000    0.000 pxla.py:2280(_to_logical_sharding)
       57    0.000    0.000    0.000    0.000 <frozen codecs>:322(decode)
        1    0.000    0.000    0.005    0.005 prng.py:766(_threefry_seed)
      107    0.000    0.000    0.000    0.000 prng.py:452(__hash__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        2    0.000    0.000    0.019    0.010 prng.py:1115(threefry_random_bits)
       10    0.000    0.000    0.006    0.001 ufuncs.py:1085(_add)
       92    0.000    0.000    0.000    0.000 partial_eval.py:2383(set_states)
        1    0.000    0.000    0.135    0.135 eigh.py:1(<module>)
        2    0.000    0.000    0.001    0.000 mlir.py:2401(_wrap_with_spmd_op)
       85    0.000    0.000    0.000    0.000 _local.py:505(__new__)
       13    0.000    0.000    0.000    0.000 config.py:846(_update_global_jit_state)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       14    0.000    0.000    0.001    0.000 __init__.py:924(_normalized_name)
       31    0.000    0.000    0.021    0.001 __init__.py:71(import_module)
       29    0.000    0.000    0.000    0.000 inspect.py:2464(_descriptor_get)
        1    0.000    0.000    0.001    0.001 reductions.py:85(_reduction)
       83    0.000    0.000    0.000    0.000 _local.py:237(_format_parsed_parts)
      272    0.000    0.000    0.000    0.000 partial_eval.py:1804(<genexpr>)
       16    0.000    0.000    0.001    0.000 typing.py:806(Optional)
        7    0.000    0.000    0.000    0.000 {built-in method jaxlib.mlir._mlir_libs._mlir.register_dialect}
       25    0.000    0.000    0.000    0.000 {method '__reduce__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 hlo_helpers.py:1(<module>)
       15    0.000    0.000    0.002    0.000 _stablehlo_ops_gen.py:4127(reshape)
        1    0.000    0.000    0.002    0.002 gpu_solver.py:1(<module>)
       14    0.000    0.000    0.002    0.000 core.py:113(doc_note)
      132    0.000    0.000    0.000    0.000 pjit.py:624(<genexpr>)
       57    0.000    0.000    0.000    0.000 <frozen codecs>:312(__init__)
       84    0.000    0.000    0.000    0.000 partial_eval.py:2675(def_trivial_padding)
        3    0.000    0.000    0.001    0.000 errors.py:1(<module>)
      316    0.000    0.000    0.000    0.000 dataclasses.py:705(_is_kw_only)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
       45    0.000    0.000    0.000    0.000 typing.py:341(_unpack_args)
       14    0.000    0.000    0.002    0.000 sharding.py:35(_addressable_devices_indices_map)
        1    0.000    0.000    0.008    0.008 linear_util.py:1(<module>)
        4    0.000    0.000    0.000    0.000 partial_eval.py:1576(_move_binders_to_front)
       46    0.000    0.000    0.016    0.000 dataclasses.py:1277(dataclass)
       19    0.000    0.000    0.004    0.000 slicing.py:56(slice)
       90    0.000    0.000    0.000    0.000 effects.py:103(filter_not_in)
       27    0.000    0.000    0.001    0.000 utils.py:378(disp_len)
        2    0.000    0.000    0.298    0.149 custom_batching.py:1(<module>)
        2    0.000    0.000    0.010    0.005 parser.py:1(<module>)
        7    0.000    0.000    0.005    0.001 ufuncs.py:1252(subtract)
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
      107    0.000    0.000    0.000    0.000 pxla.py:2191(<genexpr>)
        1    0.000    0.000    0.002    0.002 _ods_common.py:1(<module>)
        4    0.000    0.000    0.000    0.000 linear_util.py:325(cache)
        1    0.000    0.000    0.002    0.002 polynomial.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sharing.py:1(<module>)
       66    0.000    0.000    0.003    0.000 _local.py:529(open)
       67    0.000    0.000    0.001    0.000 _local.py:166(__fspath__)
      120    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
       29    0.000    0.000    0.000    0.000 inspect.py:2131(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 multihost_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reductions.py:170(_reduction_init_val)
        1    0.000    0.000    0.006    0.006 path_random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _nanfunctions_impl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 custom_transpose.py:1(<module>)
       61    0.000    0.000    0.000    0.000 xla_bridge.py:806(expand_platform_alias)
        2    0.000    0.000    0.040    0.020 loops.py:1950(fori_loop)
      191    0.000    0.000    0.000    0.000 core.py:432(__repr__)
       82    0.000    0.000    0.000    0.000 {built-in method posix._path_splitroot_ex}
        2    0.000    0.000    0.000    0.000 arrayprint.py:537(decorating_function)
        2    0.000    0.000    0.030    0.015 initializers.py:1(<module>)
      161    0.000    0.000    0.000    0.000 {method 'issubset' of 'set' objects}
       27    0.000    0.000    0.000    0.000 prng.py:481(iterated_vmap_unary)
       49    0.000    0.000    0.001    0.000 core.py:129(get_object_signature)
       50    0.000    0.000    0.001    0.000 prng.py:702(random_wrap_impl)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        7    0.000    0.000    0.000    0.000 lax.py:4577(_reduce_op_shape_rule)
      213    0.000    0.000    0.000    0.000 core.py:445(def_impl)
        2    0.000    0.000    0.046    0.023 profiler.py:1(<module>)
        7    0.000    0.000    0.003    0.000 array.py:1121(_sharding_indices_and_eq)
       46    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       25    0.000    0.000    0.001    0.000 prng.py:719(random_unwrap)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lax.py:3197(_dot_general_transpose_lhs)
        3    0.000    0.000    0.000    0.000 threading.py:869(__init__)
      151    0.000    0.000    0.000    0.000 {method 'deleter' of 'property' objects}
       19    0.000    0.000    0.001    0.000 arrayprint.py:540(wrapper)
       19    0.000    0.000    0.001    0.000 arrayprint.py:1675(_array_str_implementation)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      250    0.000    0.000    0.000    0.000 lax_numpy.py:10984(<genexpr>)
        4    0.000    0.000    0.002    0.000 loops.py:344(_check_carry_type)
       56    0.000    0.000    0.001    0.000 utils.py:194(inner)
        1    0.000    0.000    0.000    0.000 array_methods.py:1051(_set_tracer_aval_forwarding)
       42    0.000    0.000    0.000    0.000 mlir.py:639(__init__)
       42    0.000    0.000    0.000    0.000 copyreg.py:98(__newobj__)
       85    0.000    0.000    0.000    0.000 pxla.py:2819(<genexpr>)
       84    0.000    0.000    0.000    0.000 copy.py:253(<genexpr>)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
      132    0.000    0.000    0.000    0.000 util.py:476(__init__)
        5    0.000    0.000    0.000    0.000 getlimits.py:311(_get_machar)
        1    0.000    0.000    0.000    0.000 other.py:1(<module>)
       78    0.000    0.000    0.000    0.000 typing.py:1221(<genexpr>)
       53    0.000    0.000    0.000    0.000 __init__.py:205(matches)
        1    0.000    0.000    0.006    0.006 _char_codes.py:1(<module>)
        6    0.000    0.000    0.000    0.000 config.py:717(string_or_object_state)
       24    0.000    0.000    0.000    0.000 _dtype.py:350(_name_get)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
        6    0.000    0.000    0.046    0.008 common.py:54(_initial_style_open_jaxpr)
      120    0.000    0.000    0.000    0.000 sharding_impls.py:381(memory_kind)
      141    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      226    0.000    0.000    0.000    0.000 core.py:429(__init__)
       64    0.000    0.000    0.000    0.000 prng.py:318(base_arr_shape_to_keys_shape)
       76    0.000    0.000    0.000    0.000 mlir.py:2245(<genexpr>)
        4    0.000    0.000    0.000    0.000 array_methods.py:439(_compute_newshape)
       19    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       12    0.000    0.000    0.000    0.000 xla.py:183(_make_abstract_python_scalar)
        1    0.000    0.000    0.000    0.000 _sdy_ops_gen.py:1(<module>)
       41    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       42    0.000    0.000    0.000    0.000 cache_key.py:102(<lambda>)
       13    0.000    0.000    0.000    0.000 mlir.py:1278(effects)
       84    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        8    0.000    0.000    0.010    0.001 core.py:258(jaxpr_as_fun)
        1    0.000    0.000    0.000    0.000 lax.py:1326(_get_monoid_reducer)
        1    0.000    0.000    0.004    0.004 chlo.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:2324(runtime_checkable)
      136    0.000    0.000    0.000    0.000 pjit.py:1817(<genexpr>)
        2    0.000    0.000    0.001    0.000 glob.py:186(_listdir)
       37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        3    0.000    0.000    0.000    0.000 ansi.py:26(__init__)
        1    0.000    0.000    0.043    0.043 server.py:1(<module>)
      157    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
       60    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       86    0.000    0.000    0.000    0.000 __init__.py:16(set_module)
       27    0.000    0.000    0.000    0.000 ad.py:503(deflinear2)
      191    0.000    0.000    0.000    0.000 mlir.py:1283(<genexpr>)
       34    0.000    0.000    0.000    0.000 enum.py:954(_find_data_repr_)
       25    0.000    0.000    0.001    0.000 array.py:478(__reduce__)
       52    0.000    0.000    0.001    0.000 glob.py:114(_glob0)
        1    0.000    0.000    0.000    0.000 ad_util.py:1(<module>)
      125    0.000    0.000    0.000    0.000 array_methods.py:737(__init__)
        5    0.000    0.000    0.000    0.000 config.py:481(optional_enum_state)
      102    0.000    0.000    0.000    0.000 typing.py:1478(<genexpr>)
      125    0.000    0.000    0.000    0.000 lax_numpy.py:11066(<genexpr>)
       42    0.000    0.000    0.002    0.000 cache_key.py:100(<lambda>)
       29    0.000    0.000    0.001    0.000 inspect.py:3280(__str__)
        1    0.000    0.000    0.005    0.005 _local.py:1(<module>)
       27    0.000    0.000    0.001    0.000 utils.py:374(_text_width)
       51    0.000    0.000    0.000    0.000 mlir.py:2020(lower_fun)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
        3    0.000    0.000    0.004    0.001 xla_bridge.py:960(_init_backend)
      107    0.000    0.000    0.000    0.000 pxla.py:2561(<genexpr>)
        1    0.000    0.000    0.000    0.000 array.py:181(ArrayImpl)
       32    0.000    0.000    0.000    0.000 api_util.py:314(_argnames_partial)
        7    0.000    0.000    0.000    0.000 op_shardings.py:70(op_sharding_to_numpy_indices)
        1    0.000    0.000    0.005    0.005 platform.py:1(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:294(_from_text_for)
       95    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        3    0.000    0.000    0.000    0.000 enum.py:1444(_missing_)
       84    0.000    0.000    0.000    0.000 pxla.py:2181(<genexpr>)
      169    0.000    0.000    0.000    0.000 enum.py:910(<lambda>)
       84    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
       27    0.000    0.000    0.000    0.000 dataclasses.py:416(_tuple_str)
    42/26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__iter__)
       95    0.000    0.000    0.000    0.000 api_util.py:142(__hash__)
        3    0.000    0.000    0.000    0.000 functools.py:821(singledispatch)
       42    0.000    0.000    0.000    0.000 <string>:21(__hash__)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:390(realpath)
        1    0.000    0.000    0.005    0.005 header.py:1(<module>)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1366(_find_parent_path_names)
     19/8    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       62    0.000    0.000    0.000    0.000 prng.py:449(__eq__)
        6    0.000    0.000    0.005    0.001 ufuncs.py:1115(_multiply)
        3    0.000    0.000    0.000    0.000 _iinfo.py:32(__init__)
        1    0.000    0.000    0.000    0.000 _local.py:59(PurePath)
       14    0.000    0.000    0.000    0.000 prng.py:315(keys_shaped_array)
       42    0.000    0.000    0.000    0.000 {method 'hex' of 'bytes' objects}
       33    0.000    0.000    0.000    0.000 __init__.py:183(sub)
       28    0.000    0.000    0.000    0.000 __init__.py:851(normalize)
      113    0.000    0.000    0.000    0.000 pxla.py:2061(write)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scatter.py:1(<module>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:1599(_replace)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
        1    0.000    0.000    0.000    0.000 utils.py:34(envwrap)
        1    0.000    0.000    0.000    0.000 traceback_util.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:7044(getdoc)
        1    0.000    0.000    0.001    0.001 std.py:245(tqdm)
       73    0.000    0.000    0.001    0.000 typing.py:1757(<genexpr>)
      203    0.000    0.000    0.000    0.000 pjit.py:1818(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:278(<genexpr>)
        1    0.000    0.000    0.048    0.048 defmatrix.py:1(<module>)
      107    0.000    0.000    0.000    0.000 pxla.py:1787(<genexpr>)
      202    0.000    0.000    0.000    0.000 dataclasses.py:411(<genexpr>)
        2    0.000    0.000    0.001    0.001 glob.py:1(<module>)
